Entidad,frijol
Aguascalientes,"5,513.36"
Baja California Sur,"1,194.78"
Campeche,758.96
Coahuila,411.23
Colima,3.4
Chiapas,"68,515.02"
Chihuahua,"104,226.64"
Ciudad de México,54.09
Durango,"123,300.01"
Guanajuato,"55,628.57"
Guerrero,"15,190.54"
Hidalgo,"13,338.79"
Jalisco,"9,948.85"
México,"5,279.82"
Michoacán,"4,395.36"
Morelos,"1,477.34"
Nayarit,"84,539.42"
Nuevo León,652.09
Oaxaca,"25,601.73"
Puebla,"40,491.72"
Querétaro,"4,651.23"
Quintana Roo,"2,541.96"
San Luis Potosí,"57,061.99"
Sinaloa,"152,347.28"
Sonora,"26,405.18"
Tabasco,"2,024.06"
Tamaulipas,"1,714.27"
Tlaxcala,"2,331.24"
Veracruz,"28,078.09"
Yucatán,109.78
Zacatecas,"451,019.67"
